annee_de_lappel_a_projets,appel_a_projets,code_des_thematiques,code_des_destinations,action,acronyme_du_projet,description_du_projet,identifiant_de_projet,flag_projet_coordonne,nom_de_actions_groupees,free_keywords,thematique_anglais,thematique_en_francais,topic,coordinator,all_partners
2023,HORIZON-KDT-JU-2023-1-IA,JU-JTI,Chips,Innovation actions,10ACe,"The objective of the 10ÅCe pThe objective of the 10ÅCe project is to explore and realize solutions for the 10Å CMOS chip technology. Its consortium covers the entire value chain for manufacturing of the CMOS chips in the 10A node, that is, from chip design to lithography to process technology and finally chip metrology. Essential parts of hardware, software and processing technology are developed pushing the boundaries of semiconductor design and manufacture to enable the new node and keep Moore’s law alive. The 10ÅCe project is built based on the following four pillars. Lithography Equipment: ASML and expert EUV partners Zeiss, FastMicro, IOM, Plasma Matters, TNO, TU/e, University of Twente and VDL-ETG will: • Increase key performance indicators of the EUV tool, to enable smaller pitches and increase yield. • Increase sustainability of the EUV tool, both during production as well as increasing the times a module in an EUV tool can be refurbished. Chip design and mask optimization: Imec with the involvement of expert imaging , CAD and IP design partners ARM, ASML and Siemens will: • Assess the impact of the introduction of 3D mCFET on chip design: in terms of power, performance and area. • Development of new computational lithography solutions to print 10Å CFET structures, to improve imaging by next generation mask design. Process Technology: As the ultimate device for logic, the CFET architecture is proposed and Imec and expert partners Coventor, EVG, IBS, Intel, JSR, LAM, RECIF, TEL, Zeiss and Wooptix will: • Demonstrate a fully functional monolithic CFET (mCFET) • Increase sustainability of the chip manufacturing process, across the manufacturing process and including resist material development. Process characterization: Applied Materials and expert partners Thermofisher, Nova, KLA and Bruker will: • Explore and realize high throughput and sample density per wafer, for the analysis, characterization for 10Å 3D CFET devices, interconnect and materials",101139972,TRUE,Innovation actions,"chips, semiconductors, equipment, process technology, process metrology",Public-private partnerships,Partenariats public-privé,HORIZON-KDT-JU-2023-1-IA-Topic-1,Pays-Bas,"Israël, Pays-Bas, Belgique, Égypte, Royaume-Uni, Espagne, Belgique, France, France, Autriche, Allemagne, Pays-Bas, Belgique, Allemagne, Allemagne, Israël, Pays-Bas, Autriche, Belgique, Belgique, Pays-Bas, Pays-Bas, Israël, Israël, Pays-Bas, Israël, Pays-Bas, Irlande, France, France, France"
2022,HORIZON-CL4-2022-DIGITAL-EMERGING-02,CLUSTER 4-Digital,Destination 4 - DIGITAL,Research and Innovation actions,2D-BioPAD,"2D-BioPAD is a cost-effective, non-invasive point of care/self-testing tool for the early and accurate prognosis (assistive diagnosis) of Alzheimer's Disease, with special focus on earlier stages such as Subjective or Mild Cognitive Impairment (SCI/MCI).",101120706,TRUE,Research and Innovation actions,"alzheimer's disease, point-of-care, biomarkers",Digital,Numérique,HORIZON-CL4-2022-DIGITAL-EMERGING-02-19,Rép. Tchèque,"Irlande, France, Finlande, Allemagne, Grèce, Grèce, Grèce, France, Espagne, Danemark"
2023,HORIZON-CL4-2023-DIGITAL-EMERGING-01-CNECT,CLUSTER 4-Digital,Destination 4 - DIGITAL,Research and Innovation actions,2D-PRINTABLE,"2D-PRINTABLE aims at using sustainable liquid exfoliation methods to make >40 new 2D-materials (2DMs) and to develop printing and liquid-deposition methods to fabricate nanosheet (NS) networks and heterostructures with unique properties to enable the production of advanced printed digital devices, in perfect alignment with the expected outcomes of the work program. To identify new 2DMs, we will use modelling to survey thousands of possible 2DMs to identify those with superlative electronic properties (conductors, semiconductors, insulators). Layered crystals of these target materials will be synthesized and converted to NSs using various liquid exfoliation techniques. Chemical functionalization will be used to modify and tune NS properties, and to achieve in-situ chemical cross linking. We will develop a range of printing and deposition methods to produce NS networks, employing both physical and chemical routes for strong coupling between adjacent NSs, leading to extremely low junction resistance and hence exceptional network mobility. Going further, we will print/deposit networks of different NSs on top of each other leading to heterostructures with strongly-coupled interfaces for efficient charge injection and transfer. These will be the basis for a range of printed electronic devices (transistors, solar cells or LEDs) with very high performance because of the superlative nanosheet properties, the quality of interfaces and the facile nature of inter-nanosheet charge transfer. For example, we expect to produce printed transistors with gate capacitance >0.4 mF/cm2, transconductance >0.1 mS/sq, Ion/Ioff ratio >10e6, mobility ~100 cm2/Vs with the latter value x10-100 times greater than the state-of-the-art in printed electronics. The knowledge developed in 2D-PRINTABLE will be instrumental for future emerging technologies in energy storage, health and environmental monitoring as well as water purification, to ultimately address most of today’s global challenges.",101135196,TRUE,Research and Innovation actions,"exfoliation, 2dms, nanosheets, printing, networks, heterostructures, printed electronics, devices, transistors",Digital,Numérique,HORIZON-CL4-2023-DIGITAL-EMERGING-01-33,Irlande,"Italie, Allemagne, Allemagne, Suisse, France, Allemagne, Pays-Bas, Rép. Tchèque"
2021,HORIZON-MISS-2021-UNCAN-01,CANCER,CANCER,Coordination and support actions,4.UNCAN.eu,"The 15-month coordination and support action “4.UNCAN.eu” will generate a strategic agenda to launch UNCAN.eu, a European initiative to UNderstand CANcer proposed by the Mission Board and the European Beating Cancer Plan. This research agenda will be built with the final aim of achieving a new breakthrough in cancer prevention and treatment that will contribute to saving European citizens’ lives and help ensuring an optimal quality of life to disease survivors. To reach a new level of understanding, UNCAN.eu will take advantage of recent advances in research data generation and data sciences. Reliable, high-quality cancer research data generated by experimental model analysis and collected from longitudinal follow-up of cancer patients will be shared and integrated at an unprecedented scale within a Federated Cancer Research data hub, in the context of the General Data Protection Regulation. This information will be used by relevant players in Europe and beyond to address urgent and essential scientific and medical challenges in cancer prevention, early diagnosis, treatment and survivorship, in males and females of various ages. These challenges, identified in close interaction with European patients and citizens, will be tackled through competitive, ambitious and innovative, cross-border and trans-disciplinary research programmes built in a problem-solving manner. The definition of challenges will integrate inequalities in cancer research across regions and member states in order to boost the research potential of less-developed regions in Europe. Players will be committed to open science principles, including FAIR (findable, accessible, interoperable, and reusable) guiding principles for scientific data collection, management and stewardship. The new understanding gained from the collection and analysis of this wealth of data will apply secondarily to other diseases.",101069496,TRUE,Coordination and support actions,"understand cancer, cancer research, prevention of cancer, early diagnosis of cancer, therapeutic resistance in cancer, gender and age in cancer, survivorship in cancer",Cancer,Cancer,HORIZON-MISS-2021-UNCAN-01-01,France,"Allemagne, Belgique, Rép. Tchèque, Autriche, Slovénie, France, Malte, Pays-Bas, Luxembourg, Estonie, Pologne, Pays-Bas, Pays-Bas, Irlande, France, France, Portugal, Belgique, Espagne, Hongrie, Espagne, Italie, Danemark, Belgique, Lituanie, Finlande, Pays-Bas, Slovaquie, France"
2023,HORIZON-CL6-2023-GOVERNANCE-01,CLUSTER 6,Destination 7 - GOVERNANCE,Research and Innovation actions,4Growth,"4Growth aims to contribute to the uptake of digital and data-driven solutions in agriculture and forestry by (i) documenting the current state-of-play and projecting the future evolution (forecasting and foresight) of the sector, (ii) making insights available to the wider community of decision makers and value chain actors – through the 4Growth Visualisation Platform, (iii) collecting a wide range of ground truth data and identifying key factors or constraints for uptake, and (iv) producing sets of key policy recommendations and best practices to encourage/facilitate further uptake. To successfully fulfill its ambition and carry out the proposed activities, 4Growth brings together a highly-motivated team of 13 partners from 9 EU Member States, with strong proposition and extensive involvement in digital agriculture and forestry activities.",101134855,TRUE,Research and Innovation actions,"digital agriculture, digital forestry, governance models, adoption of technology",Bio-Environment,Bio-Environnement,HORIZON-CL6-2023-GOVERNANCE-01-15,Pays-Bas,"Lituanie, Belgique, France, Espagne, Grèce, Finlande, Espagne, Allemagne, Belgique, Irlande, Grèce, Grèce"
2022,HORIZON-MISS-2022-CANCER-01,CANCER,CANCER,Research and Innovation actions,4P-CAN,"With a strong belief that primary prevention of cancer represents a collective responsibility (citizens, professionals, decision-makers), during a 4 year period, 4P-CAN builds on an innovative vision to understand the complex system that surrounds the citizen, the person, and how it increases the risk for cancer on three major levels - macro (at the national level), meso/mezzo (at the community level) and micro (at the individual level). Following the European Code Against Cancer recommendations as a narrative reference and combining implementation research (including economic sciences), social sciences and humanities (SSH), together with behavioral sciences, and innovative technological approaches, 4P-CAN ultimately delivers new personalized tools for primary prevention of cancer in Central and Eastern European countries from the consortium. The co-created knowledge is then used to personalize the primary prevention interventions through Living-labs and implement personalized communication campaigns on cancer prevention. The project will focus on some of the main modifiable risk factors for cancer occurrence: smoking, alcohol consumption, physical inactivity, excess body weight (overweight and obesity), HPV and HBV infections preventable through vaccination, as well as environmental pollution (including radon), and the understanding of the barriers in front of the policy implementation and individual adherence to healthy behaviors in countries from Eastern Europe (Romania, Bulgaria, Republic of Moldova, North Macedonia, Montenegro, Ukraine), to improve as a consequence the primary prevention activities and reduce the inequalities. Altogether, 17 organizations from 11 different countries are getting together to achieve these goals, i.e. Balkan countries (EU Member States and non-EU Member States), part of CEE: Romania, Bulgaria, North Macedonia, Montenegro; Republic of Moldova and Ukraine; and Western EU countries (Portugal, Italy, France, Ireland, Belgium). This action is part of the Cancer Mission cluster of projects on ‘Prevention and early detection’.",101104432,TRUE,Research and Innovation actions,"cancer primary prevention, implementation research, social innovation, personalized communication",Cancer,Cancer,HORIZON-MISS-2022-CANCER-01-01,Roumanie,"Irlande, Portugal, Roumanie, Ukraine, Belgique, Rép. Moldave, Portugal, Roumanie, France, Roumanie, Belgique, Bulgarie, Italie, Bulgarie, Macédoine, Roumanie, Monténégro"
2022,HORIZON-JU-SNS-2022,JU-JTI,SNS,Research and Innovation actions,5G-STARDUST,"5G evolution is expected to deliver services to a diverse gamma of verticals and to the overall society according to a anywhere, anytime, anydevice paradigm, hence calling for a polymorphic and flexible architecture. Such an ambitious deployment plan calls for the convergence of terrestrial and non-terrestrial networks, especially for providing connectivity to un(der)served areas, which is the motivation of 5G-STARDUST. 5G-STARDUST’s ambition is to is to deliver a fully integrated 5G-NTN autonomous system with novel self-adapting end-to-end connectivity model for enabling ubiquitous radio access, importantly leveraging on 1) new highly flexible multi-constellation (multi-orbit) architectures integrated with 5G terrestrial segments, 2) fully 5G-compliant regenerative SatCom capabilities, 3) unified radio interfaces 4) data driven AI-based techniques for multi-connectivity and radio resource management tasks 5) 3GPP and O-RAN architecture and concepts. To this aim 5G-STARDUST will design, develop, and demonstrate, up to TRL 5, a flexible satellite system integrated with the terrestrial infrastructure by means of self-organised network architecture. This allows for autonomous and intelligent multi-connectivity framework able to adapt to diverse vertical requirements. This innovative framework will also support the operation of multi-orbit constellations, with transparent and regenerative space nodes, to deliver 5G/6G NTN services. 5G-STARDUST positions itself in the worldwide 5G/6G ecosystem timeline development, both from the standardization and market perspective. From the global standardization perspective, 5G-STARDUST results are planned to support Non-Terrestrial Network inclusion in the 3GPP Release 19 on the basis of the results of Release 18 and to influence initiation of activities in 3GPP Release 20 and 21. From the deployment and market perspective, 5G-STARDUST lines up with the market introduction, i.e., deployment by MNOs, of the 3GPP release 16, 17 and 18.",101096573,TRUE,Research and Innovation actions,"integrated satellite-5g, regenerative satellite payload, ai-based networking, ai-based resource allocation, oran, self-organised networking, 3gpp standardusation, non-terrestrial networks",Public-private partnerships,Partenariats public-privé,HORIZON-JU-SNS-2022-STREAM-A-01-02,Allemagne,"Espagne, France, Suisse, Allemagne, France, France, Italie, Irlande, Espagne"
2021,HORIZON-CL4-2021-TWIN-TRANSITION-01,CLUSTER 4-Industry,Destination 1 - TWIN,Innovation actions,5G-TIMBER,"5G-TIMBER project aims to validate through robust evidence the latest 5G Industrial Private Network features and standards specifications for Wood Value Chain (WVC) under realistic conditions. In particular, to conduct advanced field trials of the more representative and innovative data-driven material, production and installation flows that implicate manufacturing across 4 prominent industries in the wood sector including, machinery and wood house elements manufacturing, construction and renovation towards green buildings, wood waste valorisation, and established telecom SME industries in a project remit that spans 3 representative European regions (Norway, Estonia, Finland). The project incentivises the opportunistic uptake of 5G in real-life business conditions. Specifically, 5G- TIMBER will target to increase wood-based materials recycling by 50%, increase manufacturing productivity by 15%, reach 99% of the work done in the factory (vs. 85% today), reduce on-site work by 10%, reduce product nonconformities by 10%, and increase the safety of workers in wooden houses production and onsite assembling. Validation of above overall targets through >100 interdisciplinary innovation driven technical, business and service-level KPIs for 09 diverse WVC usecases across 3 categories i.e., data driven sawmill woodworking machines; modular wood-house factory; construction and renovation with wooden elements, valorisation of composite waste. Usecases will be incrementally validated by 2 lab trials followed by 2 field trials in iterative cycle covering significant portions of end-to-end WVC. 5G-TIMBER also includes a comprehensive business case and exploitation strategy that incorporates novel approaches to materializing the value of data produced in industrial environments based upon 4 distinct business models. Our 16-partner consortium is driven by strong industrial and SME partners, renowned organisations the majority of which participate in FoF cPPP, 5G-PPP, GD projects.",101058505,TRUE,Innovation actions,"wood-value chain, digital wood models, secure 5g, 5g private network, digital twins, open-standards",Industry,Industrie,HORIZON-CL4-2021-TWIN-TRANSITION-01-08,Estonie,"Italie, Irlande, Estonie, Estonie, Finlande, Roumanie, Norvège, Irlande, Allemagne, Italie, Finlande, Belgique, Belgique, Suède, France"
2022,HORIZON-JU-SNS-2022,JU-JTI,SNS,Research and Innovation actions,6G-BRICKS,"6G networks, currently only existing as concepts, are envisioned as portals to a fully digitized society, where the physical and virtual world are blended via boundless Extended Reality (XR), and also as an enabler for the Digital and Green transformation of the European Industries. To support this vision, the network capacity must be increased at least by an order of magnitude, while infrastructures must be transformed into a very dense continuum. Thus, academia and industry have shifted their attention to the investigation of a new generation of Smart Networks and infrastructures. It is clear that to win this race towards shaping the next-generation communication ecosystem, a new generation of testbed infrastructures and breakthrough research and technology development is needed needed, as well as a new generation of testbeds to support future research initiative. To this end, 6G-BRICKS aims to deliver a new 6G facility, building on the baseline of mature ICT-52 platforms, that bring breakthrough cell-free and RIS technologies that have shown promise for beyond 5G networks. Moreover, novel unified control paradigms based on Explainable AI and Machine Reasoning are explored. All enablers will be delivered in the form of reusable components with open APIs, termed “bricks“. Finally, initial integrations with O-RAN are performed, aiming for the future-proofing and interoperability of 6G-BRICKS outcomes.",101096954,TRUE,Research and Innovation actions,"cell-free, ris, mmwave, explainable ai, compute continuum, o-ran",Public-private partnerships,Partenariats public-privé,HORIZON-JU-SNS-2022-STREAM-C-01-01,Grèce,"Pologne, Irlande, Chypre, Belgique, Allemagne, Grèce, France, Espagne, Grèce, France, Espagne, Espagne, France, Allemagne, Grèce, Grèce"
2024,HORIZON-JU-SNS-2024,JU-JTI,SNS,Research and Innovation actions,6G-DALI,NA,101192750,TRUE,Research and Innovation actions,"mlops, dataops, dataspace, dt, native ai, gaia-x, trustworthy ai, generative ai",Public-private partnerships,Partenariats public-privé,HORIZON-JU-SNS-2024-STREAM-B-01-08,Grèce,"Belgique, Grèce, Espagne, Pays-Bas, France, Italie, Allemagne, France, Grèce, Irlande, Italie, Irlande"
